OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,TrackingNumber,ItemsInCart,CouponCode,TotalPrice,OrderYear,OrderMonth,OrderDayOfWeek,AvgItemPrice,HasCoupon,CartUtilization,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Cancelled,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Email,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral
ORD200000,2023-01-04,C72649,Monitor,5,570.62,928 Main St,TRK37947903,7,SAVE10,2853.1,2023,1,Wednesday,570.62,1,0.7142857142857143,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
ORD200001,2024-08-23,C75739,Phone,2,151.35,823 Main St,TRK91186779,3,SAVE10,302.7,2024,8,Friday,151.35,1,0.6666666666666666,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
ORD200002,2024-02-27,C81728,Tablet,5,550.68,512 Main St,TRK42903982,8,FREESHIP,2753.4,2024,2,Tuesday,550.6800000000001,1,0.625,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
ORD200003,2023-10-15,C33540,Chair,1,273.19,275 Main St,TRK62788070,5,SAVE10,273.19,2023,10,Sunday,273.19,1,0.2,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
ORD200004,2025-05-08,C81840,Printer,4,626.01,668 Main St,TRK29241424,8,SAVE10,2504.04,2025,5,Thursday,626.01,1,0.5,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
ORD200005,2023-10-23,C37249,Phone,2,245.86,934 Main St,TRK72976927,4,SAVE10,491.72,2023,10,Monday,245.86,1,0.5,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
ORD200006,2025-06-17,C83492,Laptop,1,664.42,986 Main St,TRK96417362,6,SAVE10,664.42,2025,6,Tuesday,664.42,1,0.16666666666666666,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
ORD200007,2023-05-12,C41460,Monitor,5,149.55,706 Main St,TRK78809193,9,FREESHIP,747.75,2023,5,Friday,149.55,1,0.5555555555555556,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
ORD200008,2025-04-02,C26817,Phone,2,134.28,904 Main St,TRK61042692,2,NoCoupon,268.56,2025,4,Wednesday,134.28,0,1.0,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
ORD200009,2023-11-21,C31946,Desk,4,509.38,102 Main St,TRK33478363,6,SAVE10,2037.52,2023,11,Tuesday,509.38,1,0.6666666666666666,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
ORD200010,2023-12-29,C43443,Tablet,5,625.97,333 Main St,TRK98859248,9,WINTER15,3129.85,2023,12,Friday,625.97,1,0.5555555555555556,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
ORD200011,2024-02-17,C93861,Monitor,3,49.14,831 Main St,TRK48234646,7,SAVE10,147.42,2024,2,Saturday,49.13999999999999,1,0.42857142857142855,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
ORD200012,2024-10-15,C38785,Monitor,2,180.5,179 Main St,TRK20419991,6,FREESHIP,361.0,2024,10,Tuesday,180.5,1,0.3333333333333333,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
ORD200013,2023-08-30,C88348,Laptop,3,201.49,903 Main St,TRK81913874,4,FREESHIP,604.47,2023,8,Wednesday,201.49,1,0.75,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
ORD200014,2023-03-27,C98474,Tablet,2,393.33,980 Main St,TRK79186539,3,SAVE10,786.66,2023,3,Monday,393.33,1,0.6666666666666666,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
ORD200015,2023-07-17,C39416,Printer,1,473.96,942 Main St,TRK54930938,3,NoCoupon,473.96,2023,7,Monday,473.96,0,0.3333333333333333,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
ORD200016,2023-01-24,C28976,Printer,2,533.81,914 Main St,TRK13194259,3,FREESHIP,1067.62,2023,1,Tuesday,533.81,1,0.6666666666666666,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
ORD200017,2024-03-02,C60672,Tablet,1,423.4,382 Main St,TRK11972116,3,NoCoupon,423.4,2024,3,Saturday,423.4,0,0.3333333333333333,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
ORD200018,2025-03-26,C84329,Desk,1,431.44,891 Main St,TRK65191045,3,SAVE10,431.44,2025,3,Wednesday,431.44,1,0.3333333333333333,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
ORD200019,2023-01-23,C14552,Monitor,5,224.0,273 Main St,TRK59101365,9,SAVE10,1120.0,2023,1,Monday,224.0,1,0.5555555555555556,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
ORD200020,2023-05-08,C54829,Chair,5,62.51,587 Main St,TRK16718651,9,WINTER15,312.55,2023,5,Monday,62.510000000000005,1,0.5555555555555556,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
ORD200021,2024-11-17,C99023,Monitor,4,342.95,569 Main St,TRK52646983,6,NoCoupon,1371.8,2024,11,Sunday,342.95,0,0.6666666666666666,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
ORD200022,2023-01-29,C34416,Monitor,2,49.62,633 Main St,TRK75937350,2,SAVE10,99.24,2023,1,Sunday,49.62,1,1.0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
ORD200023,2025-04-09,C42372,Phone,4,273.25,755 Main St,TRK36168083,5,FREESHIP,1093.0,2025,4,Wednesday,273.25,1,0.8,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
ORD200024,2024-10-30,C17470,Laptop,2,230.95,956 Main St,TRK28775057,3,WINTER15,461.9,2024,10,Wednesday,230.95,1,0.6666666666666666,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
ORD200025,2024-07-24,C42577,Monitor,1,399.98,709 Main St,TRK69423327,3,WINTER15,399.98,2024,7,Wednesday,399.98,1,0.3333333333333333,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
ORD200026,2024-03-06,C21944,Laptop,5,59.55,296 Main St,TRK80276812,6,NoCoupon,297.75,2024,3,Wednesday,59.55,0,0.8333333333333334,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
ORD200027,2024-02-22,C97593,Printer,1,472.74,881 Main St,TRK89117573,6,WINTER15,472.74,2024,2,Thursday,472.74,1,0.16666666666666666,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
ORD200028,2023-11-21,C59823,Phone,4,160.07,568 Main St,TRK65895539,5,NoCoupon,640.28,2023,11,Tuesday,160.07,0,0.8,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
ORD200029,2024-09-20,C33260,Desk,3,423.53,930 Main St,TRK59744090,6,SAVE10,1270.59,2024,9,Friday,423.53,1,0.5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
ORD200030,2025-03-22,C44267,Monitor,2,426.7,895 Main St,TRK54751444,5,SAVE10,853.4,2025,3,Saturday,426.7,1,0.4,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
ORD200031,2023-06-30,C26445,Chair,3,500.08,996 Main St,TRK31229981,6,NoCoupon,1500.24,2023,6,Friday,500.08,0,0.5,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
ORD200032,2023-05-01,C12388,Tablet,5,536.72,830 Main St,TRK99261395,10,NoCoupon,2683.6,2023,5,Monday,536.72,0,0.5,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ORD200033,2023-06-05,C52184,Chair,1,162.77,912 Main St,TRK73312471,4,WINTER15,162.77,2023,6,Monday,162.77,1,0.25,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
ORD200034,2023-01-07,C67195,Chair,4,576.52,926 Main St,TRK55467915,5,WINTER15,2306.08,2023,1,Saturday,576.52,1,0.8,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
ORD200035,2024-12-07,C50304,Monitor,2,465.15,128 Main St,TRK46850888,2,SAVE10,930.3,2024,12,Saturday,465.15,1,1.0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
ORD200036,2025-05-08,C59337,Laptop,2,534.43,465 Main St,TRK50961250,5,NoCoupon,1068.86,2025,5,Thursday,534.43,0,0.4,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
ORD200037,2024-10-14,C10054,Laptop,2,76.74,409 Main St,TRK94005261,7,SAVE10,153.48,2024,10,Monday,76.74,1,0.2857142857142857,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
ORD200038,2024-12-19,C15924,Laptop,1,245.89,549 Main St,TRK14835975,3,SAVE10,245.89,2024,12,Thursday,245.89,1,0.3333333333333333,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
ORD200039,2025-02-27,C96664,Printer,3,256.46,666 Main St,TRK85508960,4,SAVE10,769.3799999999999,2025,2,Thursday,256.46,1,0.75,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
ORD200040,2023-08-20,C84766,Desk,2,344.02,267 Main St,TRK78967923,4,FREESHIP,688.04,2023,8,Sunday,344.02,1,0.5,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
ORD200041,2023-12-05,C20212,Monitor,3,611.45,657 Main St,TRK69733327,4,FREESHIP,1834.35,2023,12,Tuesday,611.4499999999999,1,0.75,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
ORD200042,2024-05-06,C28712,Printer,2,151.66,980 Main St,TRK40772558,6,NoCoupon,303.32,2024,5,Monday,151.66,0,0.3333333333333333,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
ORD200043,2023-12-14,C60572,Chair,3,499.21,871 Main St,TRK20351666,8,NoCoupon,1497.63,2023,12,Thursday,499.21000000000004,0,0.375,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
ORD200044,2025-04-21,C73225,Phone,2,550.18,996 Main St,TRK73848522,3,FREESHIP,1100.36,2025,4,Monday,550.18,1,0.6666666666666666,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
ORD200045,2024-02-10,C17388,Chair,1,317.25,157 Main St,TRK47077395,1,SAVE10,317.25,2024,2,Saturday,317.25,1,1.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
